name,artist,album,popularity,duration_ms
Kevin’s Heart,J. Cole,KOD,72,200309
Change,J. Cole,4 Your Eyez Only,67,331480
Hotline Bling,Drake,Views,78,267066
SUN GOES DOWN,Lil Nas X,SUN GOES DOWN,57,168275
Blinding Lights,The Weeknd,After Hours,89,200040
Cha Cha,Freddie Dredd,Cha Cha,65,173937
Make Em Say (feat. Latto),NLE Choppa,Top Shotta,44,202954
Ты,Pretty Scream,Leave Your Bones,0,127578
Walk It Talk It,Migos,Culture II,73,276147
Скалы,Markul,Скалы,35,148800
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,83,218146
Tour,Blueface,Famous Cryp (Reloaded),0,267192
Baby,Blueface,Famous Cryp (Reloaded),3,133581
m y . l i f e (with 21 Savage & Morray),J. Cole,The Off-Season,76,218801
Apparently,J. Cole,2014 Forest Hills Drive,0,293040
Pray For Me,The Weeknd,The Highlights,77,211420
Narrow Road (feat. Lil Baby),NLE Choppa,Top Shotta,53,240297
Neighbors,J. Cole,4 Your Eyez Only,71,216520
Snow On Tha Bluff,J. Cole,Snow On Tha Bluff,63,235480
Lion King On Ice,J. Cole,Lewis Street,54,210586
Wet Dreamz,J. Cole,2014 Forest Hills Drive,1,239320
MIDDLE CHILD,J. Cole,MIDDLE CHILD,80,213593
No Role Modelz,J. Cole,2014 Forest Hills Drive,19,292986
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",81,386906
i,Kendrick Lamar,i,70,231933
Picture Me Grapin’,NLE Choppa,From Dark to Light,56,222487
Blueberry Faygo,Lil Mosey,Certified Hitmaker,74,162546
a lot,21 Savage,i am > i was,79,288624
HOLIDAY,Lil Nas X,HOLIDAY,68,154997
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,Moonwalking in Calabasas (feat. Blueface) [Remix],58,170232
BLIND (feat. Young Thug),DaBaby,BLAME IT ON BABY (DELUXE),55,153466
The Hills,The Weeknd,Beauty Behind The Madness,86,242253
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,88,232186
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,85,213400
Sky High,Feux,PURE NINE,0,200500
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,Shoot For The Stars Aim For The Moon,70,201600
Мадам,JONY,Мадам,0,171000
Melt,New World Sound,Melt,10,202485
ZEZE (feat. Travis Scott & Offset),Kodak Black,Dying to Live,77,228759
Supalonely,BENEE,STELLA & STEVE,68,223480
"I'm Good Luv, Enjoy.",Aaron May,CHASE,0,134547
Let Go,Aaron May,CHASE,1,176531
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,79,160000
Ginseng Strip 2002,Yung Lean,Lavender,0,153999
Deck Of Cards,Monster Florence,Foul,0,209084
bellyache,Billie Eilish,Bellyache,79,179172
G.O.M.D.,J. Cole,2014 Forest Hills Drive,0,301133
Don't Go,Yazoo,Upstairs at Eric's,7,188466
